Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address
Gulati,"North Indian, Biryani, Hyderabadi, Mughlai, Kebab",2500," Pandara Road Market, New Delhi",4.7,6509,4.3,10500,https://www.zomato.com/ncr/gulati-pandara-road-new-delhi,"6, Pandara Road Market, New Delhi"
Olive Bar & Kitchen,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",4000," Mehrauli, New Delhi",4.7,2734,3.2,21,https://www.zomato.com/ncr/olive-bar-kitchen-mehrauli-new-delhi,"6-8, Kalka Das Marg, Mehrauli, New Delhi"
The Grammar Room,"Continental, Desserts, Beverages",1200," Mehrauli, New Delhi",4.7,1068,3.9,20,https://www.zomato.com/ncr/the-grammar-room-mehrauli-new-delhi,"6-8, Kalka Das Marg, Mehrauli, New Delhi"
Chaina Ram Sindhi Confectioners,"Mithai, Street Food",350," Chandni Chowk, New Delhi",4.7,1155,,0,https://www.zomato.com/ncr/chaina-ram-sindhi-confectioners-chandni-chowk-delhi,"6499, Fathepuri Chowk, Chandni Chowk, New Delhi"
Sevilla - The Claridges,"Spanish, Italian, Desserts",4500," The Claridges, Aurangzeb Road, New Delhi",4.7,1630,,0,https://www.zomato.com/ncr/sevilla-the-claridges-dr-apj-abdul-kalam-road,"The Claridges, 12, Dr. A.P.J. Abdul Kalam Road, Dr APJ Abdul Kalam Road, Delhi NCR"
Bo Tai,"Thai, Japanese, Asian, Beverages",2500," Mehrauli, New Delhi",4.7,1194,3.9,46,https://www.zomato.com/ncr/bo-tai-1-mehrauli-new-delhi,"6/4, Kalka Das Marg, Near Qutub Minar, Mehrauli, New Delhi"
Cafe Wink,"Cafe, Continental, Italian",800," Anand Vihar, New Delhi",4.7,3291,4.3,6149,https://www.zomato.com/ncr/cafe-wink-anand-vihar-new-delhi,"G-1, Plot 9, Sikka Galaxy, Shreshtha Vihar, Anand Vihar, New Delhi"
Spezia Bistro,"Pizza, Chinese, Momos, Fast Food, Italian, Beverages, Continental",900," Delhi University-GTB Nagar, New Delhi",4.7,3829,,0,https://www.zomato.com/ncr/spezia-bistro-delhi-university-gtb-nagar-new-delhi,"2525, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi"
Evoo - Eatery And Pizzeria,"Cafe, Italian, Desserts, Beverages",1500," Geetanjali Enclave, New Delhi",4.7,782,,0,https://www.zomato.com/ncr/evoo-eatery-and-pizzeria-geetanjali-enclave-new-delhi,"B-2, Ground Floor, Shivalik, Geetanjali Pancheel Road, Near Sri Aurobindo College, Geetanjali Enclave, New Delhi"
Oh! Calcutta,"Bengali, Desserts",1500," Greater Kailash 2 (GK2), New Delhi",4.7,2337,4.4,2669,https://www.zomato.com/ncr/oh-calcutta-greater-kailash-gk-2-new-delhi,"Plot 4, Local Shopping Centre, Masjid Moth, Greater Kailash 2 (GK 2), New Delhi"
Greenr Cafe,"Cafe, Italian, Mexican, Salad, Healthy Food, Desserts, Mediterranean",1200,"  32nd Avenue, NH8, Gurgaon, Gurgaon",4.7,954,4.3,619,https://www.zomato.com/ncr/greenr-cafe-sector-15,"EL-01, 1st Floor, 32nd Milestone, NH 8, Part 2, Sector 15, Gurgaon"
Downtown - Diners & Living Beer Cafe,"Bar Food, North Indian, Fast Food, Italian, Chinese, Beverages",2200," Sector 29, Gurgaon",4.7,5344,,0,https://www.zomato.com/ncr/downtown-diners-living-beer-cafe-sector-29,"SCO 34, Main Market, Sector 29, Gurgaon"
Chili's Grill & Bar,"Mexican, Italian, American, Tex-Mex, Beverages, Desserts",1200," Pacific Mall, Tagore Garden, New Delhi",4.7,3956,4.3,3545,https://www.zomato.com/ncr/chilis-grill-bar-tagore-garden-new-delhi,"S 8 & 9, 2nd Floor, Pacific Mall, Tagore Garden, New Delhi"
Theos,"Cafe, Desserts, Salad",1500," Sector 41, Noida",4.7,2696,4.3,3613,https://www.zomato.com/ncr/theos-sector-41-noida,"Near HP Petrol Pump, Dynamic House, Main Dadri Road, Sector 41, Noida"
Kuuraku,"Japanese, Sushi",1700," Global Foyer Mall, Golf Course Road, Gurgaon",4.7,1169,4.2,188,https://www.zomato.com/ncr/kuuraku-golf-course-road,"Ground Floor, Global Foyer Mall, Golf Course Road, Gurgaon"
Threesixtyone Degrees - The Oberoi,"Asian, Continental, North Indian, Mughlai, Desserts, Beverages",5500," The Oberoi, Udyog Vihar, Gurgaon",4.7,1019,,1,https://www.zomato.com/ncr/threesixtyone-degrees-the-oberoi-udyog-vihar,"443, Phase 5, Udyog Vihar, Gurgaon"
Jom Jom Malay,"Asian, Malaysian, Thai, Chinese, Salad, Momos",1800," Saket, New Delhi",4.7,935,4.1,427,https://www.zomato.com/ncr/jom-jom-malay-saket-new-delhi,"S12-A, 2nd Floor, Select City Walk, Saket, New Delhi"
Andrea's Eatery,"Asian, Italian, Beverages, Continental, Fast Food, Desserts",2000," Select Citywalk Mall, Saket, New Delhi",4.7,1380,4.1,1527,https://www.zomato.com/ncr/andreas-eatery-saket-new-delhi,"Shop 48A-51, 1st Floor, Select Citywalk Mall, Saket, New Delhi"
The Ivy,"Mediterranean, Lebanese, Continental, Desserts",1300," Baani Square, Sector 50, Gurgaon",4.7,1249,4.2,5757,https://www.zomato.com/theivy,"89/90, Ground Floor, Baani Square, Sector 50, Gurgaon"
The Saffron Boutique,"North Indian, Mughlai, Chinese",1600," Hajipur, Noida",4.7,1714,4.1,5163,https://www.zomato.com/ncr/the-saffron-boutique-hajipur,"26 And 27, Ashirwaad Complex, Sector 104, Near Hajipur, Noida"
Master Koii's,"Asian, Chinese, Thai, Malaysian, Korean",1900," Sushant Lok, Gurgaon",4.7,833,4.3,3351,https://www.zomato.com/ncr/master-koiis-sushant-lok,"Shop 19, Flavor Town, Bestech Chambers, Sushant Lok, Gurgaon"
Kunzum Travel Cafe,Cafe,500," Hauz Khas Village, New Delhi",4.7,642,,0,https://www.zomato.com/ncr/kunzum-travel-cafe-hauz-khas-village-new-delhi,"T-49, First Floor, Hauz Khas Village, New Delhi"
Echoes Living Room,"Cafe, Continental, Chinese, Fast Food, Desserts, Beverages",800," Subhash Nagar, New Delhi",4.7,3,3.9,1,https://www.zomato.com/ncr/echoes-living-room-subhash-nagar-new-delhi,"Subhash Nagar, New Delhi"
AMA Cafe,"Cafe, Continental, Desserts, Beverages",550," Majnu ka Tila, New Delhi",4.6,5229,4.3,1684,https://www.zomato.com/ncr/ama-cafe-majnu-ka-tila-new-delhi,"House 6, New Colony, Majnu ka Tilla, New Delhi"
Bukhara - ITC Maurya,"North Indian, Kebab",6500," ITC Maurya, Chanakyapuri, New Delhi",4.6,4657,,0,https://www.zomato.com/ncr/bukhara-itc-maurya-chanakyapuri-new-delhi,"ITC Maurya, Chanakyapuri, New Delhi"
Leo's,"Pizza, Italian, Beverages",1700," Vasant Vihar, New Delhi",4.6,1179,,0,https://www.zomato.com/ncr/leos-vasant-vihar-new-delhi,"28, Basant Lok Market, Vasant Vihar, New Delhi"
Pirates of Grill,"North Indian, Mughlai",1500," Ambience Mall, Vasant Kunj, New Delhi",4.6,952,3.9,27,https://www.zomato.com/ncr/pirates-of-grill-vasant-kunj-new-delhi,"T 312 & 313, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi"
Roadhouse Cafe,"Cafe, Pizza, Italian, Wraps, Asian, Chinese, Thai, Beverages",900," Greater Kailash 1 (GK1), New Delhi",4.6,1162,4.2,1486,https://www.zomato.com/ncr/roadhouse-cafe-greater-kailash-gk-1-new-delhi,"M 22, Second Floor, Main Market, Greater Kailash 1 (GK 1), New Delhi"
Plum By Bent Chair,"Chinese, Japanese, Thai, Asian, Beverages",2200," Aerocity, New Delhi",4.6,2402,,1,https://www.zomato.com/ncr/plum-by-bent-chair-aerocity-new-delhi,"Ground Floor, Worldmark 2, Aerocity, New Delhi"
Kiyan - The Roseate,"Thai, European, North Indian, Pizza, Salad",5500," The Roseate, Kapashera, New Delhi",4.6,1124,,2,https://www.zomato.com/ncr/kiyan-the-roseate-kapashera-new-delhi,"The Roseate, 21st Milestone, Samalkha, NH 8, Kapashera, New Delhi"
Dragonfly Experience,"Modern Indian, North Indian, Beverages, European, Asian, Desserts",3000," Worldmark 1, Aerocity, New Delhi",4.6,1021,,0,https://www.zomato.com/ncr/dragonfly-experience-aerocity-new-delhi,"Worldmark 1, Aerocity, New Delhi"
