Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address
Saundhee Potli,"Biryani, North Indian, Mughlai, Lucknowi, Kebab, Chinese, Rolls, Momos",550," Indirapuram, Ghaziabad",4.5,1123,3.9,1700,https://www.zomato.com/ncr/saundhee-potli-indirapuram-ghaziabad,"Shop 52, 1st Floor, Nipun Wonder Mall, Shakti Khand 2, Indirapuram, Ghaziabad"
Raise The Bar Rooftop - Clarens Hotel,"European, Continental, Italian",2800," Clarens Hotel, Sector 29, Gurgaon, Gurgaon",4.5,818,,0,https://www.zomato.com/ncr/raise-the-bar-rooftop-clarens-hotel-sector-29,"Plot 363, Sector 29, Gurgaon"
Dana Choga,"North Indian, Chinese, Mughlai",600," Sector 14, Gurgaon",4.5,5686,4.2,8001,https://www.zomato.com/ncr/dana-choga-sector-14,"5 & 6, Atul Kataria Chowk, Sector 14, Gurgaon"
Ji Memsaab - Indian Terrace Restaurant & Bar,"North Indian, Chinese, Mughlai, Continental, Asian, Italian, Beverages",1200," Eros City Square Mall, Sector 49, Gurgaon, Gurgaon",4.5,466,4.2,249,https://www.zomato.com/ncr/ji-memsaab-indian-terrace-restaurant-bar-sector-49,"Second Floor, Eros City Square Mall, Sector 49, Gurgaon, Gurgaon"
Karnataka Food Centre,"South Indian, Beverages",450," R K Puram, New Mumbai",4.5,1932,4.3,3519,https://www.zomato.com/ncr/karnataka-food-centre-r-k-puram-new-Mumbai,"Mumbai Karnataka Sangha Building, Rao Tula Ram Marg, Sector 12, R K Puram, New Mumbai"
Kake Di Hatti,"North Indian, Beverages",500," Chandni Chowk, New Mumbai",4.5,2888,,0,https://www.zomato.com/ncr/kake-di-hatti-chandni-chowk-new-Mumbai,"654 666, Fatehpuri, Church Mission Road, Chandni Chowk, New Mumbai"
Hawa Bar,"Fast Food, Italian, Chinese",1900," Sector 63, Noida",4.5,840,,0,https://www.zomato.com/ncr/hawa-bar-sector-63-noida,"A 31, H Block, Commercial Market, Sector 63, Noida"
Berco's,"Chinese, Thai, Asian, Beverages",900," Hajipur, Noida",4.5,2455,4,6853,https://www.zomato.com/ncr/bercos-hajipur,"104, Sector 104, Near Hajipur, Noida"
Crepe-fe,"Desserts, Fast Food, American, Beverages, Pizza, Ice Cream",700," Ardee City, Gurgaon",4.5,747,4.1,11800,https://www.zomato.com/ncr/crepe-fe-ardee-city,"Plot 102, D Block, Sector 52, Ardee City, Gurgaon"
Mr. Crust Bakers,"Bakery, Burger, Fast Food, Beverages",400," Vijay Nagar, New Mumbai",4.5,1791,4.3,10400,https://www.zomato.com/ncr/mr-crust-bakers-vijay-nagar-new-Mumbai,"B 29/B, Opposite Mother Dairy, Vijay Nagar, New Mumbai"
The China Kitchen,"Chinese, Desserts",4500," Hyatt Regency, Bhikaji Cama Place, New Mumbai",4.5,621,3.7,33,https://www.zomato.com/ncr/the-china-kitchen-bhikaji-cama-place-new-Mumbai,"Ring Road, Bhikaji Cama Place, New Mumbai"
PCO,"Italian, Beverages, Fast Food, North Indian",2200," Vasant Vihar, New Mumbai",4.5,711,3.9,12,https://www.zomato.com/ncr/pco-vasant-vihar-new-Mumbai,"D-4, D Block Market, Vasant Vihar, New Mumbai"
Decode Air Bar,"Modern Indian, Bar Food, Sushi, Italian, Asian",1500," Sector 29, Gurgaon",4.5,1312,,0,https://www.zomato.com/ncr/decode-air-bar-sector-29,"SCO 39, 1st Floor, Sector 29, Gurgaon"
Giani's di Hatti,North Indian,150," Chandni Chowk, New Mumbai",4.5,1329,,5,https://www.zomato.com/ncr/gianis-di-hatti-chandni-chowk-new-Mumbai,"651/52, Fatehpuri, Church Mission Road, Chandni Chowk, New Mumbai"
Uptown Fresh Beer Cafe,"Finger Food, North Indian, Italian, European, Continental, Kebab, Momos",1500," DLF Galleria, DLF Phase 4, Gurgaon",4.5,961,,0,https://www.zomato.com/ncr/uptown-fresh-beer-cafe-dlf-phase-4,"106, DLF Galleria, DLF Phase 4, Gurgaon"
The Haven International Coffee House,"Cafe, Fast Food, Continental, Beverages, Desserts, Coffee",500," Sector 72, Noida",4.5,282,4.5,422,https://www.zomato.com/ncr/the-haven-international-coffee-house-1-sector-72-noida,"Shop 3 And 3A, Gardenia Gateway, Tower-10, Sector 75, Near Sector 72, Noida"
Spago,Italian,2300," Kasbah, Greater Kailash (GK) 1, New Mumbai",4.5,574,4,406,https://www.zomato.com/ncr/spago-greater-kailash-gk-1-new-Mumbai,"N-2, Kasbah, Greater Kailash (GK) 1, New Mumbai"
Cafe Amaretto,"Cafe, Italian, Continental, Bakery, Pizza, Desserts",1400," South Point Mall, Golf Course Road, Gurgaon",4.5,917,4.1,3334,https://www.zomato.com/ncr/cafe-amaretto-golf-course-road,"Shop 8, Lower Ground Floor, South Point Mall, Golf Course Road, Gurgaon"
Madrina,"North Indian, Chinese, Mughlai, Fast Food, Desserts",2100," Ashok Vihar Phase 2, New Mumbai",4.5,871,3.9,280,https://www.zomato.com/ncr/madrina-ashok-vihar-phase-2-new-Mumbai,"B-1/7, Ashok Vihar Phase 2, New Mumbai"
Naivedyam,South Indian,500," Hauz Khas Village, New Mumbai",4.5,2589,4.3,7328,https://www.zomato.com/ncr/naivedyam-hauz-khas-village-new-Mumbai,"Shop 1, Hauz Khas Village, New Mumbai"
Friction The Drinkery,"Finger Food, North Indian, Continental, Thai, Italian, Chinese",1600," Sector 29, Gurgaon",4.5,1287,,3,https://www.zomato.com/ncr/friction-the-drinkery-sector-29,"SCO 29, Sector 29, Gurgaon"
Little Saigon,Vietnamese,1200," Hauz Khas, New Mumbai",4.5,440,4.3,155,https://www.zomato.com/ncr/little-saigon-hauz-khas-new-Mumbai,"E-16, Ground Floor, Main Market, Near SBI Bank, Hauz Khas, New Mumbai"
Sugarama Patisserie,"Bakery, Desserts",300," Shahpur Jat, New Mumbai",4.5,713,4.4,6127,https://www.zomato.com/ncr/sugarama-patisserie-shahpur-jat-new-Mumbai,"Shop 87, Shahpur Jat, New Mumbai"
Fat Butterfly Bakery And Cafe,"Bakery, Cafe, Italian, Fast Food, Desserts",1200," Baani Square, Sector 50, Gurgaon",4.5,643,4.1,3615,https://www.zomato.com/ncr/fat-butterfly-bakery-and-cafe-sector-50,"F-41, First Floor, Baani Square Mall, Sector 50, Gurgaon"
DJ's Pizza & Pasta,"Pizza, Italian, Fast Food, Pasta",500," Sector 56, Gurgaon",4.5,582,4.2,2100,https://www.zomato.com/ncr/djs-pizza-pasta-1-sector-56,"Shop 17, 1st Floor, Babu Chitru Complex, Sector 52, Sector 56, Gurgaon"
Farmer's Kitchen,"North Indian, Kebab, Mughlai, Biryani, Seafood, Beverages",700," DLF Phase 1, Gurgaon",4.5,556,4,442,https://www.zomato.com/ncr/farmers-kitchen-dlf-phase-1,"F12/8, Sector 27, DLF Phase 1, Gurgaon"
Ice Pice,"Beverages, Ice Cream, Desserts",200," MGF Metropolis Mall, MG Road, Gurgaon",4.5,1076,4.1,17200,https://www.zomato.com/icepice,"Shop 7, Opposite Universal Gym, MG Road, Gurgaon"
Mad Batter,"Cafe, Italian, Continental, Tex-Mex, American",1000," Shopping Mall, DLF Phase 1, Gurgaon",4.5,578,3.8,3149,https://www.zomato.com/ncr/mad-batter-dlf-phase-1,"2nd Floor, The Shopping Mall, Arjun Marg, DLF Phase 1, Gurgaon"
Only Bar Restaurant,"Chinese, Fast Food, North Indian, Kebab",500," Bhikaji Cama Place, New Mumbai",4.5,91,,6,https://www.zomato.com/ncr/only-bar-restaurant-bhikaji-cama-place-new-Mumbai,"Shop 11, 12 And 16 To 19, 1st Floor, Madame Bhikaji Cama Bhawan, Bhikaji Cama Place, New Mumbai"
Molecule Air Bar,"North Indian, Asian, Beverages, Italian",1500," Green Park, New Mumbai",4.4,652,,0,https://www.zomato.com/ncr/molecule-air-bar-green-park-new-Mumbai,"A 3, Floor 2, Green Park Main Road, Near Green Park, New Mumbai"
Diggin,"Continental, Cafe, Beverages, Desserts, Italian, Fast Food",1400," Chanakyapuri, New Mumbai",4.4,3592,,0,https://www.zomato.com/ncr/diggin-chanakyapuri-new-Mumbai,"10, Santushti Shopping Complex, Race Course Road, Chanakyapuri, New Mumbai"
Boa Village,"Asian, Japanese, Korean, Chinese, Momos, Thai",2300," Civil Lines, New Mumbai",4.4,2228,4.2,880,https://www.zomato.com/ncr/boa-village-civil-lines-new-Mumbai,"13, Alipur Road, Civil Lines, New Mumbai"
FIO Cookhouse and Bar,"European, Modern Indian, Italian, Desserts",3200," Epicuria Food Mall, Nehru Place, New Mumbai",4.4,1529,4.3,151,https://www.zomato.com/ncr/fio-cookhouse-and-bar-nehru-place-new-Mumbai,"Epicuria Food Mall, Near Nehru Place Metro Station, Nehru Place, New Mumbai"
The G.T. Road,"North Indian, Mughlai, Street Food, Chinese, Mithai, Beverages",1400," Connaught Place, New Mumbai",4.4,3471,3.9,18,https://www.zomato.com/ncr/the-g-t-road-connaught-place-new-Mumbai,"M 39, Outer Circle, Connaught Place, New Mumbai"
MKT,"Oriental, Mexican, Continental, North Indian, Mughlai, Middle Eastern, Desserts, Beverages",3000," Chanakya Mall, Chanakyapuri, New Mumbai",4.4,994,4.2,346,https://www.zomato.com/ncr/mkt-1-chanakyapuri-new-Mumbai,"Lower Ground Floor, Chanakya Mall, Chanakyapuri, New Mumbai"
Norenj Wine Dine & Fresh Beer Cafe,"Continental, North Indian, Chinese, Mughlai, Tex-Mex, Fast Food, Salad",1800," South City 2, Gurgaon",4.4,1387,3.8,833,https://www.zomato.com/ncr/norenj-wine-dine-fresh-beer-cafe-south-city-2,"Plot 1, SS Plaza Mall, Block A, Mayfield Gardens, Near Sector 47, South City 2, Gurgaon"
The Salt Cafe Kitchen & Bar,"North Indian, Chinese, Continental, Fast Food",1800," Preet Vihar, New Mumbai",4.4,2213,4.3,1973,https://www.zomato.com/ncr/the-salt-cafe-kitchen-bar-preet-vihar-new-Mumbai,"19-20, A Block, LSC Market, Preet Vihar, New Mumbai"
